CODIGO;CODIGO BARRAS;REFERENCIA;DESCRIÇÃO;COD.FABRICANTE;FABRICANTE;UNIDADE;QUANTIDADE;QUANTIDADE-BLOQ;CST/CSOSN;VL-UNIT;VL-TOTAL;NCM;COD.GRUPO;DES.GRUPO;COD.SUBGRUPO;DES.SUBGRUPO;COD.MEDIDA;DES.MEDIDA;QUANT. COMPRA;QUANT. COMPRA MES;TIPO DE PRODUTO
   337.6 ;               ;                    ;ABACAXI AO VINHO 4 KG                              ;     1 ;CREMOSO              ;UN  ;          0,000;          0,000;202;        135,00;          0,00;           ;    17 ;REVENDA                                  ;     4 ;NORMAL                                   ;     1 ;DIVERSOS                                 ;          0,000;          0,000;Produto/Revenda
   332.7 ;               ;                    ;AÇAÍ SPORT 3,6 KG                                  ;     1 ;CREMOSO              ;UN  ;         -1,000;          0,000;202;         91,00;        -91,00;           ;    17 ;REVENDA                                  ;     4 ;NORMAL                                   ;     1 ;DIVERSOS                                 ;          0,000;          0,000;Produto/Revenda
   344.2 ;               ;                    ;BAG LEITE CONDENSADO 5 KG                          ;     1 ;CREMOSO              ;UN  ;          0,000;          0,000;202;         90,00;          0,00;           ;    17 ;REVENDA                                  ;     4 ;NORMAL                                   ;     1 ;DIVERSOS                                 ;          0,000;          0,000;Produto/Revenda
   342.6 ;               ;                    ;BALDE 12L *VAGO*                                   ;     1 ;CREMOSO              ;UN  ;          0,000;          0,000;202;        125,00;          0,00;21050090   ;     1 ;BALDE 12L                                ;     3 ;TRADICIONAL                              ;     1 ;DIVERSOS                                 ;          0,000;          0,000;Produto
    21.6 ;               ;                    ;BALDE 12L ABACAXI COM HORTELA SEM LACT             ;     1 ;CREMOSO              ;UN  ;          0,000;          0,000;202;        125,00;          0,00;21050090   ;     1 ;BALDE 12L                                ;     3 ;TRADICIONAL                              ;     1 ;DIVERSOS                                 ;          0,000;          0,000;Produto
    22.4 ;               ;                    ;BALDE 12L ABACAXI SEM LACTOSE                      ;     1 ;CREMOSO              ;UN  ;          0,000;          0,000;202;        125,00;          0,00;21050090   ;     1 ;BALDE 12L                                ;     3 ;TRADICIONAL                              ;     1 ;DIVERSOS                                 ;          0,000;          0,000;Produto
    23.2 ;               ;                    ;BALDE 12L ABACAXI SUIÇO                            ;     1 ;CREMOSO              ;UN  ;          0,000;          1,000;202;        125,00;          0,00;21050090   ;     1 ;BALDE 12L                                ;     3 ;TRADICIONAL                              ;     1 ;DIVERSOS                                 ;          0,000;          0,000;Produto
    24.0 ;               ;                    ;BALDE 12L ALPINO                                   ;     1 ;CREMOSO              ;UN  ;         -1,000;          3,000;202;        125,00;       -125,00;21050090   ;     1 ;BALDE 12L                                ;     3 ;TRADICIONAL                              ;     1 ;DIVERSOS                                 ;          0,000;          0,000;Produto
    25.7 ;               ;                    ;BALDE 12L AMORA                                    ;     1 ;CREMOSO              ;UN  ;         -1,000;          0,000;202;        125,00;       -125,00;21050090   ;     1 ;BALDE 12L                                ;     3 ;TRADICIONAL                              ;     1 ;DIVERSOS                                 ;          0,000;          0,000;Produto
    26.5 ;               ;                    ;BALDE 12L BANANA COM NUTELLA                       ;     1 ;CREMOSO              ;UN  ;         -1,000;          2,000;202;        125,00;       -125,00;21050090   ;     1 ;BALDE 12L                                ;     3 ;TRADICIONAL                              ;     1 ;DIVERSOS                                 ;          0,000;          0,000;Produto
